"contrast","generational","target","plim_naive","plim_trueG","plim_unitG","plim_v2","gamma_pair_specific","asy_bias_trueG","asy_bias_unitG","asy_bias_v2","asy_bias_naive"
"increment",FALSE,0.0090737584278144,0.159838924498695,0.0090737584278144,0.0501411531385724,0.0153919075182061,1.42388310693331,0,0.041067394710758,0.0063181490903917,0.150765166070881
"level",FALSE,0.100785301129235,0.699694377838332,0.100785301129235,0.26392401605961,0.116335787014479,1.40033262438854,-1.38777878078145e-17,0.163138714930375,0.0155504858852437,0.598909076709098
"level",TRUE,0.100785301129235,0.452207004423041,-0.146702072286057,0.0164366426443185,-0.140985380676173,1.40033262438854,-0.247487373415292,-0.0843486584849163,-0.241770681805408,0.351421703293806
