"cell","bias_inc_naive","bias_inc_unitG","bias_inc_trueG","mcse_inc_trueG","rmse_inc_trueG","bias_inc_screen","bias_inc_median","bias_lvl_trueG","mcse_lvl_trueG","bias_inc_v2","bias_lvl_v2","Q_reject_rate","item_flag_rate","false_flag_rate","mean_n_screened","R"
"matched",0.152191407313425,0.0431566568972601,0.00233747637052261,0.0024493927585072,0.0424184127063423,0.00238002922849615,0.00198588202055538,0.00306497808316759,0.00220671128297927,0.00897982446256592,0.0187175722238799,0.00666666666666667,0.02,0.0075,0.17,300
"generational",0.15169767800339,0.0412042839710739,-0.000160966839353979,0.00277387945790503,0.0479651298046054,-0.000199899337986141,-0.000644683075892655,-0.250005975391249,0.00222856873628443,0.0060826964573519,-0.24501627518077,0.00333333333333333,0.0166666666666667,0.00566666666666667,0.13,300
"drift3",0.154823446584401,0.0300330617312139,-0.0166845326859885,0.00247468938166154,0.0459290300804036,-0.00671212019841415,-0.00632317764039102,-0.0197153351131231,0.00227085103456764,-0.0110802444558607,-0.00515891030643215,0.34,0.683333333333333,0.005,1.07666666666667,300
