"regime","gamma","estimator","target","bias_own","mcse_bias","bias_pop","rmse_own","sd_est","mean_se","cover95","mcse_cover","target_pop","target_surv","target_surv_s","R"
"MAR_X",0,"ipw","target_pop",-0.0012041434342703,0.00132650667832592,-0.0012041434342703,0.0419441331903034,0.0419478243493421,NA,NA,NA,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MAR_X",0,"ec","target_surv",-0.00133711098548393,0.00138782343628557,-0.00133711098548393,0.0438852560913195,0.0438868304882398,0.0447059115699963,0.955,0.00655553201502365,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_trait",0.3,"naive","target_surv",-0.197580679752807,0.0013798226068882,-0.217469836839331,0.202336678651288,0.0438247175079872,0.0428974521500899,0.003,0.00172945077987204,0.189575589025242,0.169686431938718,0.165989163229074,1000
"MNAR_trait",0.3,"sm","target_surv",0.000425863956288626,0.0017069957747043,-0.0194632931302356,0.053954630018125,0.0541001628232336,0.0523994717385121,0.945,0.00720936890441875,0.189575589025242,0.169686431938718,0.165989163229074,1000
"MNAR_trait",0.3,"ssm","target_surv_s",0.00167450170771364,0.00181231486164735,-0.0219119240884547,0.0573062355120213,0.0574415688857584,0.0553258401865636,0.943,0.00733150734842434,0.189575589025242,0.169686431938718,0.165989163229074,1000
"MNAR_trait",0.3,"ipw","target_pop",-0.197955690712851,0.0013814819927638,-0.197955690712851,0.202714181766931,0.0437871441653914,NA,NA,NA,0.189575589025242,0.169686431938718,0.165989163229074,1000
"MNAR_trait",0.3,"ec","target_surv",-0.000712759320124665,0.00141409729062335,-0.0206019164066488,0.0447010011302808,0.0448267163397102,0.0442754086288022,0.945,0.00720936890441875,0.189575589025242,0.169686431938718,0.165989163229074,1000
"MNAR_trait",0,"naive","target_surv",-0.197580679752807,0.0013798226068882,-0.197580679752807,0.202336678651288,0.0436338220475785,0.042695126013802,0.003,0.00172945077987204,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_trait",0,"sm","target_surv",0.00042586395628863,0.0017069957747043,0.00042586395628863,0.053954630018125,0.0539799460434924,0.0522338777015807,0.943,0.00733150734842434,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_trait",0,"ssm","target_surv_s",0.00167450170771365,0.00181231486164735,0.00167450170771365,0.0573062355120213,0.0573104280017857,0.0551564920825042,0.942,0.00739161687318817,0.189636167648567,0.189636167648567,0.189636167648567,1000
