"regime","rej_TSD_g030","rej_TSD_g0","diff_rej","mcse_diff_rej","discordant_pairs","ec_bias_pop_g030","ec_bias_pop_g0","mcse_diff_bias_pop","identical_Y0_entry","R"
"MCAR",0.053,0.053,0,0.0014149211999267,2,0.000510111767883787,0.000549958542640806,1.88882500101432e-05,TRUE,1000
"MAR_X",0.056,0.056,0,0.0014149211999267,2,-0.0013424497894857,-0.00133711098548393,2.36611032213149e-05,TRUE,1000
"MNAR_trait",0.056,0.044,0.012,0.00488670439865968,24,-0.0206019164066488,-0.000712759320124659,2.33085659692246e-05,TRUE,1000
"MNAR_nonstat",0.078,0.088,-0.01,0.00398947564423145,16,-0.0311186479103227,-0.0016763564423729,2.46505607756765e-05,TRUE,1000
"MNAR_state",0.993,0.991,0.002,0.00141350557055782,2,0.091611547405595,0.103239798258207,2.4236291237813e-05,TRUE,1000
"MNAR_both",0.945,0.93,0.0149999999999999,0.00384574957450297,15,0.0473014438042046,0.0783330358479734,2.58219008544904e-05,TRUE,1000
