"block","R","B","sd_emp_ec","mean_se_if_ec","mean_se_boot_ec","mean_se_within_ec","cover_ec_if","cover_ec_boot","sd_emp_TNS","mean_se_if_TNS","mean_se_boot_TNS","mean_se_within_TNS"
"D1 high-separation null",200,200,0.0298651008154063,0.0322220928198618,0.0320945399844838,0.0232483523973316,0.96,0.96,0.0300594801666195,0.0322301624774537,0.0321729935352905,0.00636260319610995
"Part A MNAR_trait, gamma = 0.3",200,200,0.0424393797147129,0.0442423722079603,0.0442481780281924,0.0441359306400731,0.96,0.96,0.0329713591191608,0.0351356563926527,0.0351471656791072,0.0341982290498616
"Part A MNAR_state, gamma = 0.3",200,200,0.0454039291282214,0.0449944100908668,0.0447579059860681,0.0448736686917552,0.34,0.33,0.0370279144285009,0.0380538661087663,0.0381997505025463,0.0370698122813658
